tag,Lon,Lat,Lon.2.5.,Lon.97.25.,Lat.2.5.,Lat.97.25.,mask,tag.loc,year,Ring.No,type,site.number
S418,-17.07758621,6.799180328,-20.07758621,-14.57758621,-3.200819672,15.79918033,none,UK,2009,X461451,geolocator,1
S420,-16.11206897,10.84016393,-18.11206897,-12.61206897,-0.159836066,19.34016393,none,UK,2009,Y619609,geolocator,1
S421,-16.11206897,9.758196721,-19.11206897,-12.61206897,-7.241803279,23.75819672,none,UK,2009,X461494,geolocator,1
S422,-16.02586207,3.053278689,-21.02586207,-9.025862069,-12.44672131,18.55327869,none,UK,2009,X461486,geolocator,1
Z401,-16.07758621,12.6352459,-19.57758621,-12.07758621,2.135245902,24.6352459,none,UK,2009,TZ28065,geolocator,1
Z401,-16.61206897,2.848360656,-19.61206897,-13.11206897,-32.15163934,42.34836066,none,UK,2009,TZ28065,geolocator,2
Z408,-17.09482759,12.71721311,-20.09482759,-12.09482759,-2.782786885,22.21721311,none,UK,2009,Z477389,geolocator,1
Z408,-12.64655172,5.635245902,-15.64655172,-9.646551724,-22.3647541,28.1352459,none,UK,2009,Z477389,geolocator,2
Z411,-17.59482759,13.75819672,-21.59482759,-13.09482759,-3.241803279,24.75819672,none,UK,2009,Z477414,geolocator,1
Z412,-17.07758621,7.307377049,-22.57758621,-11.57758621,-26.69262295,46.80737705,none,UK,2009,Z477385,geolocator,1
Z412,-17.00862069,15.88934426,-22.50862069,-7.50862069,-10.61065574,30.38934426,none,UK,2009,Z477385,geolocator,2
Z412,-13.61206897,4.299180328,-19.11206897,-8.612068966,-15.20081967,20.29918033,none,UK,2009,Z477385,geolocator,3
373,-3.215517241,0.340163934,-4.715517241,-1.215517241,-20.65983607,17.84016393,none,Ghana,2012,NA,geolocator,1
373,-2.715517241,5.340163934,-5.215517241,-0.715517241,4.840163934,21.34016393,land,Ghana,2012,NA,geolocator,1
376,-2.715517241,7.717213115,-4.715517241,-0.215517241,-10.78278689,26.71721311,none,Ghana,2012,NA,geolocator,1
376,-2.715517241,7.717213115,-4.715517241,-0.215517241,5.217213115,26.71721311,land,Ghana,2012,NA,geolocator,1
381,-2.715517241,-6.159836066,-4.215517241,-0.215517241,-27.65983607,23.34016393,none,Ghana,2012,NA,geolocator,1
381,-1.215517241,5.340163934,-5.215517241,0.784482759,4.840163934,27.34016393,land,Ghana,2012,NA,geolocator,1
BR060,-17.11206897,20.1352459,-19.61206897,-14.11206897,3.635245902,32.6352459,none,Gambia,2012,NA,geolocator,1
BR060,-16.61206897,21.1352459,-17.11206897,-14.11206897,10.1352459,28.1352459,land,Gambia,2019,NA,geolocator,1
BR063,-17.11206897,10.42213115,-18.61206897,-15.61206897,3.922131148,15.92213115,none,Gambia,2019,NA,geolocator,1
BR063,-16.61206897,12.42213115,-17.11206897,-14.11206897,11.92213115,19.92213115,land,Gambia,2019,NA,geolocator,1
BR064,-17.12931034,11.96311475,-18.62931034,-15.62931034,5.963114754,16.96311475,none,Gambia,2019,NA,geolocator,1
