YEAR,TOTAL,species,scheme
1995,1809,Luscinia megarhynchos                        ,ESP
1995,399,Luscinia megarhynchos,NL1
1995,51,Luscinia megarhynchos,CHE
1995,1207,Luscinia megarhynchos,ITA
1996,167,Luscinia megarhynchos,GB1
1996,4,Luscinia megarhynchos,DN1
1996,371,Luscinia megarhynchos,FR1
1996,827,Luscinia megarhynchos,DEU
1996,21,Luscinia megarhynchos x Luscinia luscinia,DEU
1996,124,Luscinia megarhynchos,DEU
1996,1566,Luscinia megarhynchos                        ,ESP
1996,644,Luscinia megarhynchos,NL1
1996,48,Luscinia megarhynchos,CHE
1996,1203,Luscinia megarhynchos,ITA
1997,231,Luscinia megarhynchos,GB1
1997,2,Luscinia megarhynchos,DN1
1997,480,Luscinia megarhynchos,FR1
1997,752,Luscinia megarhynchos,DEU
1997,8,Luscinia megarhynchos x Luscinia luscinia,DEU
1997,326,Luscinia megarhynchos,DEU
1997,1604,Luscinia megarhynchos                        ,ESP
1997,819,Luscinia megarhynchos,NL1
1997,33,Luscinia megarhynchos,CHE
1997,1325,Luscinia megarhynchos,ITA
1998,230,Luscinia megarhynchos,GB1
1998,3,Luscinia megarhynchos,DN1
1998,468,Luscinia megarhynchos,FR1
1998,541,Luscinia megarhynchos,DEU
1998,16,Luscinia megarhynchos x Luscinia luscinia,DEU
1998,241,Luscinia megarhynchos,DEU
1998,2138,Luscinia megarhynchos                        ,ESP
1998,495,Luscinia megarhynchos,NL1
1998,37,Luscinia megarhynchos,CHE
1998,985,Luscinia megarhynchos,ITA
1999,195,Luscinia megarhynchos,GB1
1999,3,Luscinia megarhynchos,DN1
1999,372,Luscinia megarhynchos,FR1
1999,482,Luscinia megarhynchos,DEU
1999,22,Luscinia megarhynchos x Luscinia luscinia,DEU
1999,145,Luscinia megarhynchos,DEU
1999,2544,Luscinia megarhynchos                        ,ESP
1999,420,Luscinia megarhynchos,NL1
1999,70,Luscinia megarhynchos,CHE
1999,822,Luscinia megarhynchos,ITA
2000,204,Luscinia megarhynchos,GB1
2000,2,Luscinia megarhynchos,DN1
2000,415,Luscinia megarhynchos,FR1
2000,477,Luscinia megarhynchos,DEU
2000,13,Luscinia megarhynchos x Luscinia luscinia,DEU
2000,154,Luscinia megarhynchos,DEU
2000,3078,Luscinia megarhynchos                        ,ESP
2000,527,Luscinia megarhynchos,NL1
2000,74,Luscinia megarhynchos,CHE
2000,758,Luscinia megarhynchos,ITA
2001,176,Luscinia megarhynchos,GB1
2001,520,Luscinia megarhynchos,FR1
2001,490,Luscinia megarhynchos,DEU
2001,6,Luscinia megarhynchos x Luscinia luscinia,DEU
2001,123,Luscinia megarhynchos,DEU
2001,3282,Luscinia megarhynchos                        ,ESP
2001,835,Luscinia megarhynchos,NL1
2001,48,Luscinia megarhynchos,CHE
2001,971,Luscinia megarhynchos,ITA
2002,118,Luscinia megarhynchos,GB1
2002,3,Luscinia megarhynchos,DN1
2002,666,Luscinia megarhynchos,FR1
2002,450,Luscinia megarhynchos,DEU
2002,19,Luscinia megarhynchos x Luscinia luscinia,DEU
