RTYPE,SCHEME,RING,RINFO,SPEC,RACE,AGE,SEX,SXMTD,DATE,PLACE,SITE,LAT,LONG,FIND,CIRCUMSTANCE,COND,ACT,ACT2,HAB1,HAB2,IRPL,GRID,SCHEM2,RING2,WING,WINGINIT,WT,WTDATE,INIT,POINT,PRIML,MOULT,PPSC,PPMLT,OGC,ALULA,BLMTD,BILL,THL,BDMTD,BILLD,TSMTD,TARSUS,TAIL,CLAW,PLUM,PATCH,FAT,PEC,MTHOD,PULALIV,PULRING,PULCODE,OWN,OWN2,USERC1,USERC2,USERC3,USERC4,USERC5,USERV1,USERV2,USERV3,USERV4,USERV5,TEXT,CAPTURETYPE,FATMTD,SAMPLE,HTTIME,FINDER,BODYMOULT,TAILFORK,EXTRACTINIT,RINGINIT,CHECKINIT,PROJECT1,PROJECTREG1,PROJECT2,PROJECTREG2,PROJECT3,PROJECTREG3,LB,LA,RB,RA,LW,RW,NC,SSMLT,PCMLT,GCMLT,CCMLT,ALULAMLT,TAILMLT,LPPMLT,LSSMLT,LPCMLT,LGCMLT,LCCMLT,LALULAMLT,LTAILMLT,LMCMLT,UWCMLT,HEADMLT,UPPMLT,UNPMLT
R,GBT,S647420,,NIGAL,,6,,,21/01/2020 11:40,KARTON,BARRA1,13.080,-16.769,8,20,M,,,J1,,VM00,,,,87,PMN,21.2,21/01/2020 11:40,PMN,,,O,,,,,,,,,,,,,,,,3,,M,,,,,,,,,,,,,,,net 15; BV422 fitted,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,JP96756,,NIGAL,,5,,,23/01/2020 08:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,83,HJH,25.3,23/01/2020 08:00,HJH,,,O,,,5,,,,,,,,,,,,,6,,M,,,,,,,,,,,,,,,net 4,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,JP96756,,NIGAL,,5,,,24/01/2020 08:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,85,OF,25.1,24/01/2020 08:00,OF,,,O,,,6,,,,,,,,,,,,,5,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TH87192,,NIGAL,,6,,,26/01/2020 08:30,KARTON,CAMP,13.091,-16.770,8,20,,,,G5,,VM00,,,,85,JJ,22.2,26/01/2020 08:30,JJ,,,N,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL89897,,NIGAL,,5,,,26/01/2020 08:30,KARTON,CAMP,13.091,-16.770,,,,,,J1,,VM00,,,,81,PMN,17.6,26/01/2020 08:30,PMN,,,O,,,,,,,,,,,,68,,,,2,,M,,,,,,,,,,,,,,,net 7,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TH87182,,NIGAL,,4,,,04/12/2020 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,84,MJ,19.8,04/12/2020 07:00,MJ,,,N,,,,,,,,,,,,70,,,,,,M,,,,,,,,,,,,,,,net 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL89898,,NIGAL,,3,,,04/12/2020 07:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,81,MCO,22.4,04/12/2020 07:00,MCO,,,O,,,,,,,,,,,,67,,,,,,M,,,,,,,,,,,,,,,net 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL89899,,NIGAL,,3,,,04/12/2020 10:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,85,DJ,21.2,04/12/2020 10:00,DJ,,,N,,,,,,,,,,,,66,,,,,,M,,,,,,,,,,,,,,,net 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL89900,,NIGAL,,3,,,11/12/2020 07:20,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,81,DJ,19.6,11/12/2020 07:20,DJ,,,O,,,9,,,,,,,,,66,,,,,,M,,,,,,,,,,,,,,,net 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TL89899,,NIGAL,,5,,,02/01/2021 08:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,86,NS,22.2,02/01/2021 08:30,NS,,,O,,,,,,,37.2,,,,,70,,,,,,M,,,,,,,,,,,,,,,net 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,C439327,,NIGAL,,5,,,26/02/2021 08:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,80,NS,26.9,26/02/2021 08:00,NS,,,O,,,4,,,,35.7,,,,,64,,,,,,M,,,,,,,,,,,,,,,net 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85115,,NIGAL,,3,,,05/11/2021 07:30,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,85,GCO,19.2,05/11/2021 07:30,GCO,,,O,,,6,,,,,,,,,67,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85116,,NIGAL,,3,,,13/11/2021 07:00,KARTON,BARRA5,13.086,-16.770,,,,,,J1,,VM00,,,,80,JJ,18.4,13/11/2021 07:00,JJ,,,O,,,,,,,,,,,,69,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85118,,NIGAL,,4,M,,19/11/2021 07:40,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,85,MCO,20.7,19/11/2021 07:40,MCO,,,O,,,,,,,,,,,,69,,,,3,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85120,,NIGAL,,3,,,26/11/2021 09:20,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,84,MJ,19.5,26/11/2021 09:20,MJ,,,O,,,,,,,37.1,,,,,70,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85122,,NIGAL,,3,,,03/12/2021 07:20,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,80,NS,20.4,03/12/2021 07:20,NS,,,O,,,,,,,36.3,,,,,68,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85126,,NIGAL,,5,,,17/02/2022 07:50,KARTON,BARRA5,13.086,-16.770,,,,,,J1,,VM00,,,,83,WJ,17.4,17/02/2022 07:50,WJ,,,O,,,4,,,,,,,,,65,,,,0,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85130,,NIGAL,,5,,,25/02/2022 09:10,SAPU,SAPRIC,13.554,-14.898,,,,,,I5,B1,VM00,,,,82,MM,18.6,25/02/2022 09:10,MM,,,O,,,5,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GBT,BN85149,,NIGAL,,6,,,07/03/2022 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,GBT,E721113,87,GHG,31.5,07/03/2022 07:00,GHG,,,N,,,,,,,,,,,,68,,,,3,,M,,,,,,,,,,,,,,,net 11,weight correct,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,S647420,,NIGAL,,6,,,09/03/2022 07:10,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,86,MJ,29.1,09/03/2022 07:10,MJ,,,O,,,,,,,,,,,,72,,,,5,,M,,,,,,,,,,,,,,,net 18; BV422 removed,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68376,,NIGAL,,5,,,11/03/2022 07:30,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,90,WJ,29.8,11/03/2022 07:30,WJ,,,O,,,7,,,,,,,,,68,,,,5,,M,,,,,,,,,,,,,,,net 22,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68379,,NIGAL,,6,,,11/03/2022 07:40,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,85,KDC,20.3,11/03/2022 07:40,KDC,,,N,,,,,,,,,,,,69,,,,3,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68383,,NIGAL,,6,,,12/03/2022 08:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,82,CH,21.8,12/03/2022 08:00,CH,,,O,,,,,,,,,,,,69,,,,3,,M,,,,,,,,,,,,,,,net 25,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,AZX1146,,NIGAL,,5,,,12/03/2022 09:30,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,83,GHG,20.9,12/03/2022 09:30,GHG,,,O,,,6,,,,,,,,,65,,,,1,,M,,,,,,,,,,,,,,,net 26,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68385,,NIGAL,,5,,,13/03/2022 07:00,KARTON,CAMP,13.091,-16.770,,,,,,J1,,VM00,,,,84,KDC,28.5,13/03/2022 07:00,KDC,,,O,,,5,,,,,,,,,67,,,,5,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68388,,NIGAL,,5,,,14/03/2022 07:40,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,80,KDC,28.1,14/03/2022 07:40,KDC,,,O,,,4,,,,,,,,,62,,,,4,,M,,,,,,,,,,,,,,,net 2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,AZX1280,,NIGAL,,3,,,23/11/2022 07:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,84,WJ,17.3,23/11/2022 07:00,WJ,,,O,,,6,,,,,,,,,62,,,,0,,M,,,,,,,,,,,,,,,net 8,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,AZX1281,,NIGAL,,3,,,23/11/2022 07:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,83,RD,19,23/11/2022 07:00,RD,,,O,,,4,,,,,,,,,68,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,AZX1362,,NIGAL,,3,,,16/12/2022 07:40,KARTON,BARRA5,13.086,-16.770,,,,,,J1,,VM00,,,,84,MCO,20.1,16/12/2022 07:40,MCO,,,O,,,,,,,37.2,,,,,70,,,,1,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,AZX1385,,NIGAL,,3,,,30/12/2022 08:50,KARTON,BARRA5,13.086,-16.770,,,,,,J1,,VM00,,,,81,JJ,19.3,30/12/2022 08:50,JJ,,,O,,,,,,,34.4,,,,,66,,,,,,M,,,,,,,,,,,,,,,net 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68396,,NIGAL,,5,,,14/01/2023 08:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,81,GCO,21.1,14/01/2023 08:30,GCO,,,O,,,,,,,35.8,,,,,65,,,,,,M,,,,,,,,,,,,,,,net 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68398,,NIGAL,,5,,,14/01/2023 10:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,81,MJ,18.6,14/01/2023 10:00,MJ,,,O,,,,,,,36.2,,,,,65,,,,,,M,,,,,,,,,,,,,,,net 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68399,,NIGAL,,5,,,18/02/2023 07:00,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,81,MHE,27.3,18/02/2023 07:00,MHE,,,O,,,4,,,,,,,,,,,,,6,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TL68400,,NIGAL,,5,,,18/02/2023 07:00,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,83,JV,31.3,18/02/2023 07:00,JV,,,O,,,3,,,,,,,,,,,,,7,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TL68396,,NIGAL,,5,,,19/02/2023 08:00,KARTON,BARRA2,13.081,-16.771,8,20,M,,,J1,,VM00,,,,82,GC,21.6,19/02/2023 08:00,GC,,,O,,,4,,,,,,,S,27.4,65,,,,1,2,M,,,,,,,,,,,,,,,net 5; 58315 fitted,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TL68398,,NIGAL,,5,,,20/02/2023 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,80,SOK,19.5,20/02/2023 07:00,SOK,,,O,,,9,,,,36.2,,,,,64,,,,,,M,,,,,,,,,,,,,,,net 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91862,,NIGAL,,6,,,23/02/2023 07:00,KARTON,STALA,13.072,-16.749,,,M,,,J1,,VM00,,,,82,ALR,26.3,23/02/2023 07:00,ALR,,,O,,,,,,,,,,S,26.8,69,,,,6,2,M,,,,,,,,,,,,,,,net 4; 58288 fitted,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91863,,NIGAL,,6,,,23/02/2023 07:00,KARTON,STALA,13.072,-16.749,,,M,,,J1,,VM00,,,,86,JLS,30.5,23/02/2023 07:00,JLS,,,O,,,,,,,,,,S,27.4,68,,,,7,2,M,,,,,,,,,,,,,,,net 25; 58282 fitted,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91864,,NIGAL,,5,,,23/02/2023 07:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,82,JLS,21.3,23/02/2023 07:00,JLS,,,O,,,4,,,,,,,,,,,,,3,,M,,,,,,,,,,,,,,,net 4,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TL68376,,NIGAL,,6,,,23/02/2023 07:00,KARTON,STALA,13.072,-16.749,8,20,M,,,J1,,VM00,,,,90,KDC,28.6,23/02/2023 07:00,KDC,,,O,,,,,,,,,,S,28.6,71,,,,3,2,M,,,,,,,,,,,,,,,net 9; 58279 fitted,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91865,,NIGAL,,5,,,23/02/2023 08:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,81,WJ,21.2,23/02/2023 08:00,WJ,,,O,,,8,,,,,,,,,59,,,,1,,M,,,,,,,,,,,,,,,net 15,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91866,,NIGAL,,5,,,23/02/2023 10:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,83,AR,30.2,23/02/2023 10:00,AR,,,O,,,5,,,,38.6,,,,,56,,,,4,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91867,,NIGAL,,5,,,24/02/2023 08:30,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,79,GC,22.6,24/02/2023 08:30,GC,,,O,,,6,,,,,,,S,26.3,62,,,,4,2,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,BH91866,,NIGAL,,5,,,27/02/2023 07:00,KARTON,STALA,13.072,-16.749,8,20,M,,,J1,,VM00,,,,84,JV,27.2,27/02/2023 07:00,JV,,,O,,,6,,,,36.4,,,S,27.2,66,,,,5,2,M,,,,,,,,,,,,,,,net 15; 58287 fitted,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,BH91864,,NIGAL,,5,,,27/02/2023 09:20,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,81,ALR,21.3,27/02/2023 09:20,ALR,,,O,,,4,,,,,,,,,62,,,,0,,M,,,,,,,,,,,,,,,net 4,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BH91900,,NIGAL,,5,,,02/03/2023 10:00,KARTON,BARRA5,13.086,-16.770,,,,,,J1,,VM00,,,,81,AR,17.2,02/03/2023 10:00,AR,,,O,,,6,,,,37.3,,,,,65,,,,0,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,TR12149,,NIGAL,,6,F,,01/07/2023 07:30,ST3319,,50.967,-2.934,8,20,,,,B7,,GBSOM,ST3319,,,80,RCD,18.3,01/07/2023 07:30,RCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
