RTYPE,SCHEME,RING,RINFO,SPEC,RACE,AGE,SEX,SXMTD,DATE,PLACE,SITE,LAT,LONG,FIND,CIRCUMSTANCE,COND,ACT,ACT2,HAB1,HAB2,IRPL,GRID,SCHEM2,RING2,WING,WINGINIT,WT,WTDATE,INIT,POINT,PRIML,MOULT,PPSC,PPMLT,OGC,ALULA,BLMTD,BILL,THL,BDMTD,BILLD,TSMTD,TARSUS,TAIL,CLAW,PLUM,PATCH,FAT,PEC,MTHOD,PULALIV,PULRING,PULCODE,OWN,OWN2,USERC1,USERC2,USERC3,USERC4,USERC5,USERV1,USERV2,USERV3,USERV4,USERV5,TEXT,CAPTURETYPE,FATMTD,SAMPLE,HTTIME,FINDER,BODYMOULT,TAILFORK,EXTRACTINIT,RINGINIT,CHECKINIT,PROJECT1,PROJECTREG1,PROJECT2,PROJECTREG2,PROJECT3,PROJECTREG3,LB,LA,RB,RA,LW,RW,NC,SSMLT,PCMLT,GCMLT,CCMLT,ALULAMLT,TAILMLT,LPPMLT,LSSMLT,LPCMLT,LGCMLT,LCCMLT,LALULAMLT,LTAILMLT,LMCMLT,UWCMLT,HEADMLT,UPPMLT,UNPMLT
N,GBT,L156157,,NIGAL,,5,,,11/01/2014 08:20,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,86,MGP,21.6,11/01/2014 08:20,MGP,,,N,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faecal sample 2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BJ28135,,NIGAL,,5,,,14/01/2014 09:30,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,84,GZD,19.6,14/01/2014 09:30,GZD,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tarsus 2.5,refer to ringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BJ28136,,NIGAL,,5,,,14/01/2014 09:30,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,85,LJB,22.7,14/01/2014 09:30,LJB,,,O,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tarsus 2.5, faecal sample 3",refer to ringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BJ28138,,NIGAL,,6,,,17/01/2014 09:50,KARTON,CAMP,13.091,-16.770,,,,,,J1,,VM00,,,,87,MGP,23.7,17/01/2014 09:50,MGP,,,N,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,"faecal sample 4, muscle 2",refer to ringer,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BJ28139,,NIGAL,,5,,,18/01/2014 07:40,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,82,REB,18.5,18/01/2014 07:40,REB,,,O,,,5,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,REFER TO RINGER,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,Y612137,,NIGAL,,4,,,03/02/2015 09:00,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,83,OF,19.4,03/02/2015 09:00,OF,A,,O,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,Y612140,,NIGAL,,5,,,03/02/2015 10:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,81,MM,20.6,03/02/2015 10:00,MM,,,O,,,4,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,L930769,,NIGAL,,4,,,05/02/2015 08:50,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,87,RW,18.9,05/02/2015 08:50,RW,,,O,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82691,,NIGAL,,5,,,08/01/2016 08:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,80,JBL,19.5,08/01/2016 08:00,JBL,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 8; tarsus width=2.3mm,B rings used for NIGAL at KBO,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82692,,NIGAL,,5,,,08/01/2016 08:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,84,IPG,22.2,08/01/2016 08:30,IPG,,,O,,,4,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,net 1; tarsus width=2.2mm,B rings used for NIGAL at KBO,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
